PDBchain   len  method   resol   rfac  freerfac
3FRQA      195  XRAY      1.76  0.183  0.221
5C3UA      366  XRAY      1.76  0.188  0.209
4FBVA      267  XRAY      1.76  0.188  0.214
3OR1A      437  XRAY      1.76  0.193  0.212
3OR1B      386  XRAY      1.76  0.193  0.212
3OR1C      105  XRAY      1.76  0.193  0.212
7XWTB      292  XRAY      1.76  0.196  0.215
4WNBA      187  XRAY      1.76  0.218  0.255
4WNBB      129  XRAY      1.76  0.218  0.255
7OMIAAA    674  XRAY      1.76  0.233  0.261
4JWJA      202  XRAY      1.76   0.24  0.251
6NU9A      184  XRAY     1.761  0.238  0.269
7ACMA      178  XRAY     1.763   0.16  0.203
5VIAA      294  XRAY     1.764  0.197  0.218
5WJEA      159  XRAY     1.765  0.181  0.217
6KSAA      614  XRAY     1.768   0.15  0.171
4TLGA      404  XRAY      1.77  0.141  0.194
4WVBA      420  XRAY      1.77   0.16  0.187
6X7LA      319  XRAY      1.77  0.166  0.199
3W0SA      349  XRAY      1.77  0.168  0.198
6SP0A      226  XRAY      1.77  0.169  0.198
4WBDA      541  XRAY      1.77   0.17  0.198
2WR8A      259  XRAY      1.77   0.17  0.217
5MUIA      381  XRAY      1.77  0.176  0.208
5V4RA      162  XRAY      1.77  0.179  0.209
3T4KA      270  XRAY      1.77  0.182   0.21
1FHVA      323  XRAY      1.77  0.185  0.224
3OA8B      208  XRAY      1.77  0.185   0.23
4C0NA      175  XRAY      1.77  0.187  0.205
8PZ4A      479  XRAY      1.77   0.19  0.234
6L3MA      420  XRAY      1.77   0.19  0.216
4FJUA      351  XRAY     1.771   0.23  0.248
3TW1A      237  XRAY     1.772  0.177   0.21
5EJ4A      556  XRAY     1.773  0.178  0.217
8JB3A      455  XRAY     1.774  0.212  0.237
5H02A      283  XRAY     1.776  0.177  0.196
6LCEA      436  XRAY      1.78  0.141  0.182
1VLJA      407  XRAY      1.78  0.145  0.193
3O2GA      388  XRAY      1.78  0.149  0.176
2ZZDB      157  XRAY      1.78   0.15  0.159
1EMYA      153  XRAY      1.78  0.153  NA   
7OJ7111    305  XRAY      1.78  0.158  NA   
7OJ7222    271  XRAY      1.78  0.158  NA   
7OJ7333    240  XRAY      1.78  0.158  NA   
7OJ7444     69  XRAY      1.78  0.158  NA   
8H41A      358  XRAY      1.78  0.167  0.194
6MT7A      231  XRAY      1.78   0.17  0.206
5HTVA      439  XRAY      1.78  0.171  0.204
8DQDA      377  XRAY      1.78  0.174  0.197
7SQMA      357  XRAY      1.78  0.175  0.205
7EMEA      447  XRAY      1.78  0.177   0.22
6MGGB      387  XRAY      1.78  0.178  0.214
6LFRA      180  XRAY      1.78  0.178  0.203
2QW5A      335  XRAY      1.78  0.179  0.224
5WCIA      295  XRAY      1.78  0.184  0.218
2IRYA      303  XRAY      1.78  0.185   0.23
3ALLA      379  XRAY      1.78  0.198   0.23
6VDQA      365  XRAY      1.78  0.201  0.228
3KOUA      247  XRAY      1.78  0.203  0.243
8GXKA      189  XRAY      1.78  0.206  0.247
2BS2C      256  XRAY      1.78  0.229  0.237
4AP9A      201  XRAY     1.783  0.196  0.221
3A15A      373  XRAY      1.79  0.163  0.193
1I2KA      269  XRAY      1.79  0.163  0.248
4PV2A      197  XRAY      1.79  0.164  0.207
4PV2B      131  XRAY      1.79  0.164  0.207
3H41A      311  XRAY      1.79  0.165  0.197
7TWKA      400  XRAY      1.79  0.168  0.192
3GYDA      187  XRAY      1.79   0.17  0.212
6GPAA      314  XRAY      1.79  0.173   0.22
6J0PA      582  XRAY      1.79  0.174  0.196
5AOBA      286  XRAY      1.79  0.178  0.221
3M0VA      438  XRAY      1.79  0.186  0.216
6FXJA      251  XRAY      1.79  0.187  0.214
7SHWA      310  XRAY      1.79  0.197   0.21
4NJMA      309  XRAY      1.79  0.206  0.241
6FMXA      222  XRAY      1.79  0.238  0.262
9RYGA      275  XRAY     1.791  0.162  0.188
7KDXA      681  XRAY     1.791  0.165  0.193
5KOKA      397  XRAY     1.792  0.165  0.199
5DMPA      169  XRAY     1.793  0.176  0.204
8R70A      644  XRAY     1.797  0.183  0.223
5WANA      403  XRAY     1.798  0.149  0.172
5UQDA      442  XRAY     1.798  0.165  0.193
6INWA      390  XRAY     1.798  0.168  0.203
6ECVA      316  XRAY     1.798  0.168  0.194
4JD0A      251  XRAY       1.8  0.114  0.166
3EO7A      511  XRAY       1.8  0.138  0.163
4L5MA      217  XRAY       1.8  0.138  0.181
3I09A      375  XRAY       1.8  0.139  0.174
4H19A      372  XRAY       1.8  0.139  0.175
7EC9A      341  XRAY       1.8  0.142  0.168
3SN0A      409  XRAY       1.8  0.143  0.165
4N4JA      500  XRAY       1.8  0.144  0.157
3OKXA      169  XRAY       1.8  0.149  0.182
4J0HA      491  XRAY       1.8  0.151  0.183
3LCCA      235  XRAY       1.8  0.151  0.177
7SZPA      361  XRAY       1.8  0.152  0.193
6PZ0A      192  XRAY       1.8  0.152  0.196
1GM9B      557  XRAY       1.8  0.153   0.19
7YLSB      437  XRAY       1.8  0.153  0.168
1GM9A      209  XRAY       1.8  0.153   0.19
7YLSA      162  XRAY       1.8  0.153  0.168
3PIJA      526  XRAY       1.8  0.154  0.208
4IA6A      591  XRAY       1.8  0.156  0.192
8A9CA      586  XRAY       1.8  0.156  0.191
3N0QA      409  XRAY       1.8  0.156  0.186
7S5OA      169  XRAY       1.8  0.156   0.19
9FDKB      434  XRAY       1.8  0.157  0.186
5OM9A      419  XRAY       1.8  0.157  0.212
2J7QA      232  XRAY       1.8  0.157  0.214
4AM2A      159  XRAY       1.8  0.157  0.192
1U7HA      350  XRAY       1.8  0.158  0.181
5E3QA      302  XRAY       1.8  0.158  0.187
1M3UA      264  XRAY       1.8  0.158  0.193
2ZAAA      236  XRAY       1.8  0.158  0.198
7CQMA      201  XRAY       1.8  0.158   0.19
5XKTA      200  XRAY       1.8  0.158  0.191
5H4SA      284  XRAY       1.8  0.159  0.205
6YHNA      519  XRAY       1.8   0.16  0.191
3N33A      373  XRAY       1.8   0.16  0.191
2CIVA      299  XRAY       1.8   0.16  0.184
3ILFA      268  XRAY       1.8   0.16  0.205
8XSGA      342  XRAY       1.8  0.161  0.201
3H8TA      191  XRAY       1.8  0.161  0.187
4IVKA      434  XRAY       1.8  0.162  0.182
4TXEA      294  XRAY       1.8  0.162  0.191
6W1IA      197  XRAY       1.8  0.162  0.208
6Z2CA      188  XRAY       1.8  0.162   0.19
4E1OA      481  XRAY       1.8  0.163  0.181
6C4AA      442  XRAY       1.8  0.163  0.197
6KPMA      303  XRAY       1.8  0.163  0.198
4AQ4A      419  XRAY       1.8  0.164  0.192
6Q8JA      197  XRAY       1.8  0.164   0.22
4F0RA      447  XRAY       1.8  0.165  0.199
2BUQA      209  XRAY       1.8  0.165  0.194
5Z9TA      536  XRAY       1.8  0.166  0.196
8ZVCA      432  XRAY       1.8  0.166  0.197
7WH0A      549  XRAY       1.8  0.167  0.189
8BPDA      399  XRAY       1.8  0.167  0.202
6M4JA      348  XRAY       1.8  0.167   0.19
6TLKA      303  XRAY       1.8  0.167  0.201
3QYQA      293  XRAY       1.8  0.167  0.201
7VHCA      297  XRAY       1.8  0.168  0.195
7VHCB       70  XRAY       1.8  0.168  0.195
8PZ0A      517  XRAY       1.8  0.169   0.19
19HCA      292  XRAY       1.8  0.169  NA   
5GZHA      449  XRAY       1.8   0.17  0.204
7RT0A      421  XRAY       1.8   0.17  0.193
7FH3A      393  XRAY       1.8   0.17  0.199
2GMSA      390  XRAY       1.8   0.17  0.213
3DDJA      296  XRAY       1.8   0.17  0.206
1XBZA      216  XRAY       1.8   0.17   0.21
4B2NA      662  XRAY       1.8  0.171   0.22
3CL5A      377  XRAY       1.8  0.171  0.188
1M0WA      491  XRAY       1.8  0.172  0.196
6AIXA      378  XRAY       1.8  0.172  0.199
3GD9A      367  XRAY       1.8  0.172  0.217
5H6SA      481  XRAY       1.8  0.173  0.192
4I4TA      450  XRAY       1.8  0.173  0.204
4N6HA      414  XRAY       1.8  0.173   0.19
4I4TF      384  XRAY       1.8  0.173  0.204
7ZHFA      274  XRAY       1.8  0.173  0.204
2ACOA      173  XRAY       1.8  0.173   0.21
4I4TE      143  XRAY       1.8  0.173  0.204
7D0PB       50  XRAY       1.8  0.173  0.226
1LFWA      470  XRAY       1.8  0.174  NA   
4WY2A      319  XRAY       1.8  0.174  0.202
1M4DA      181  XRAY       1.8  0.174  0.211
5MEDA      569  XRAY       1.8  0.175  0.203
2POCA      367  XRAY       1.8  0.175  0.206
7UO3A      174  XRAY       1.8  0.175  0.209
6A2WA      167  XRAY       1.8  0.175  0.197
5A8AA      156  XRAY       1.8  0.175  0.203
6HNUA      491  XRAY       1.8  0.176  0.219
8TWGB      402  XRAY       1.8  0.176  0.209
4I94A      300  XRAY       1.8  0.176  0.218
2P0EA      207  XRAY       1.8  0.176  0.209
5GJOA      394  XRAY       1.8  0.177  0.197
4X7KA      317  XRAY       1.8  0.177  0.196
2HQYA      305  XRAY       1.8  0.177  0.211
2NO0A      280  XRAY       1.8  0.177  0.211
4DJTA      218  XRAY       1.8  0.177  0.216
3HBDA      204  XRAY       1.8  0.177   0.21
6EPZA      683  XRAY       1.8  0.178  0.195
4A2BA      419  XRAY       1.8  0.178  0.223
3MBIA      287  XRAY       1.8  0.178  0.219
8IXWA      174  XRAY       1.8  0.178  0.203
2NSHA      169  XRAY       1.8  0.178  0.211
5LJWA      347  XRAY       1.8  0.179  0.206
5FTWA      256  XRAY       1.8  0.179  0.237
6IRYA      496  XRAY       1.8   0.18  0.203
1RJDA      334  XRAY       1.8   0.18  0.215
1AOMA      567  XRAY       1.8  0.181    0.2
6TBYAAA    353  XRAY       1.8  0.181  0.212
6XBOA      330  XRAY       1.8  0.181  0.198
5K2ZA      315  XRAY       1.8  0.181  0.204
5JOXA      516  XRAY       1.8  0.182  0.216
7ZQGA      256  XRAY       1.8  0.182  0.211
4JJ0A      243  XRAY       1.8  0.183  0.239
4Z9DA      175  XRAY       1.8  0.183  0.227
1GDIA      153  XRAY       1.8  0.183  NA   
8ZGVA      539  XRAY       1.8  0.184  0.209
6G2AA      367  XRAY       1.8  0.184   0.22
4E1BA      352  XRAY       1.8  0.186  0.217
2AM3A      342  XRAY       1.8  0.186  0.226
7W81A      181  XRAY       1.8  0.187  0.226
5B6EA      325  XRAY       1.8  0.188  0.207
3VPBA      282  XRAY       1.8  0.189  0.235
4FNBA      232  XRAY       1.8  0.189  0.219
3VPBE       56  XRAY       1.8  0.189  0.235
3IOXA      497  XRAY       1.8   0.19  0.228
4ZEVA      296  XRAY       1.8   0.19  0.219
8CKHA      284  XRAY       1.8   0.19  0.227
7FBQA      243  XRAY       1.8   0.19  0.207
1A82A      224  XRAY       1.8   0.19  0.246
9MVAA      412  XRAY       1.8  0.191  0.222
5DV4A      398  XRAY       1.8  0.191  0.216
4WH3A      367  XRAY       1.8  0.191  0.222
1H70A      255  XRAY       1.8  0.191  0.218
3C5NA      246  XRAY       1.8  0.191  0.221
2X5FA      430  XRAY       1.8  0.192   0.21
2UYQA      310  XRAY       1.8  0.192  0.231
3T7MA      263  XRAY       1.8  0.192  0.243
3GASA      259  XRAY       1.8  0.192  0.222
7CZ2A      439  XRAY       1.8  0.193  0.224
1WOQA      267  XRAY       1.8  0.193  0.223
3DRAB      390  XRAY       1.8  0.194  0.231
7ESAA      340  XRAY       1.8  0.194  0.223
3KA7A      425  XRAY       1.8  0.195  0.223
4INDA      387  XRAY       1.8  0.195  0.217
5EP3A      256  XRAY       1.8  0.195  0.233
4MZ7A      539  XRAY       1.8  0.196  0.226
3E4WA      320  XRAY       1.8  0.197   0.21
7TRRA      225  XRAY       1.8  0.197  0.229
5W8EA      221  XRAY       1.8  0.197  0.217
5KTCA      188  XRAY       1.8  0.197  0.247
3VOTA      425  XRAY       1.8  0.198  0.241
5MUNA      214  XRAY       1.8  0.198   0.24
2A2QT      205  XRAY       1.8  0.198  0.259
2ZSIB      110  XRAY       1.8  0.198  0.221
3NRZC      756  XRAY       1.8  0.199  0.234
3NRZB      305  XRAY       1.8  0.199  0.234
2JE2A      186  XRAY       1.8  0.199  0.237
3FBUA      168  XRAY       1.8    0.2  0.224
3CL7A      308  XRAY       1.8  0.201  0.225
3GO4A      277  XRAY       1.8  0.202   0.25
9G3WA      194  XRAY       1.8  0.202  0.243
2YW2A      424  XRAY       1.8  0.203  0.227
2CFMA      561  XRAY       1.8  0.204  0.231
7CIMA      557  XRAY       1.8  0.204  0.238
4WYWA      481  XRAY       1.8  0.204  0.227
3KQ0A      192  XRAY       1.8  0.204   0.24
3SAOA      160  XRAY       1.8  0.204  0.233
3ITBA      352  XRAY       1.8  0.207  0.254
1AK0A      270  XRAY       1.8  0.207  0.235
3C5HA      255  XRAY       1.8  0.207  0.247
3PROC      166  XRAY       1.8  0.207   0.23
8B2UA      297  XRAY       1.8  0.209   0.23
8IUAA      576  XRAY       1.8   0.21  0.253
6N4DA      397  XRAY       1.8  0.211  0.238
1LC7A      364  XRAY       1.8  0.212  0.251
4H2DA      165  XRAY       1.8  0.213  0.234
5FIHA      555  XRAY       1.8  0.217  0.244
4KP1A      445  XRAY       1.8  0.217  0.252
1IG0A      319  XRAY       1.8  0.217  0.234
1RO7A      259  XRAY       1.8  0.217  0.248
2O73A      174  XRAY       1.8  0.219  0.252
1Z01A      446  XRAY       1.8   0.22   0.26
1WOGA      305  XRAY       1.8  0.223  0.251
2ZSJA      352  XRAY       1.8  0.224  0.254
6TEKA      250  XRAY       1.8  0.224  0.255
2FLIA      220  XRAY       1.8  0.227  0.256
3FPJA      298  XRAY       1.8  0.228  0.284
1RKXA      357  XRAY       1.8  0.229  0.266
8DILA      183  XRAY       1.8   0.23  0.274
4G68A      456  XRAY       1.8  0.231  0.261
2EA1A      245  XRAY       1.8  0.231  0.257
3IO3A      348  XRAY       1.8  0.233  0.247
2DPMA      284  XRAY       1.8  0.238  0.284
4Y9TA      346  XRAY     1.801   0.15  0.189
5E4MA      209  XRAY     1.801  0.167  0.199
5GOEA      422  XRAY     1.801  0.178  0.204
5HFIA      237  XRAY     1.801  0.198  0.244
7AZUA      232  XRAY     1.801  0.205  0.226
6B9RA      450  XRAY     1.802  0.154  0.189
5CJZA      626  XRAY     1.803  0.176  0.211
4LWMA      217  XRAY     1.804  0.181  0.223
5DIIA      205  XRAY     1.804  0.189  0.218
8G5UA      489  XRAY     1.804   0.19  0.216
6AQEA      266  XRAY     1.805  0.163  0.186
8W8JA      579  XRAY     1.807  0.181  0.208
2PNYA      246  XRAY      1.81  0.149  0.182
8RIPA      334  XRAY      1.81  0.158  0.178
4DI8A      303  XRAY      1.81  0.158  0.187
5O0JA      453  XRAY      1.81  0.163  0.202
8RZGA      676  XRAY      1.81  0.167  0.194
4YCAA      294  XRAY      1.81  0.174  0.211
7QEJA      248  XRAY      1.81  0.181  0.211
8Z4RA      473  XRAY      1.81  0.188  0.225
7AAQA      514  XRAY      1.81  0.189  0.212
8CHAA      209  XRAY      1.81  0.194  0.225
8B61A      238  XRAY      1.81  0.204  0.251
8IP2A      519  XRAY      1.81  0.215  0.254
3B7RL      616  XRAY     1.811   0.15  0.185
8R5NA      165  XRAY     1.812   0.18  0.227
5A98A      248  XRAY     1.816  0.165   0.22
5SLPD      523  XRAY     1.819  0.231   0.26
5A60A      435  XRAY      1.82  0.153  0.189
3NOJA      238  XRAY      1.82  0.159  0.171
3JU8A      490  XRAY      1.82   0.16  0.196
5F4ZA      393  XRAY      1.82  0.162    0.2
7YZMA      422  XRAY      1.82  0.164  0.201
1W78A      422  XRAY      1.82  0.165  0.203
3VC1A      312  XRAY      1.82  0.167  0.194
5EKDA      343  XRAY      1.82  0.172  0.207
7Q4GA      237  XRAY      1.82  0.174  0.219
3O3MA      408  XRAY      1.82  0.175   0.22
3O3MB      385  XRAY      1.82  0.175   0.22
4WH5A      162  XRAY      1.82   0.19   0.23
3FPZA      326  XRAY      1.82  0.198  0.236
8OTVA      223  XRAY      1.82  0.207   0.24
1HW5A      210  XRAY      1.82  0.228    0.3
5A9AA      243  XRAY     1.822  0.158   0.19
5TWBA      344  XRAY     1.822  0.191  0.227
5YS3A      192  XRAY     1.823  0.162  0.199
6AQ4A      281  XRAY     1.825  0.192  0.233
5KPRA      380  XRAY     1.827  0.172  0.193
9J3UA      458  XRAY      1.83  0.152  0.182
6B04A      341  XRAY      1.83  0.158  0.191
4USRA      361  XRAY      1.83  0.164  0.204
2XZ7A      325  XRAY      1.83  0.166  0.195
7OFLA      377  XRAY      1.83  0.185  0.231
4MXPA      328  XRAY      1.83   0.19  0.208
2OZEA      298  XRAY      1.83  0.192  0.218
8S1JA      306  XRAY      1.83  0.194  0.228
6AQ7A      122  XRAY      1.83  0.198   0.23
5GK1A      402  XRAY      1.83    0.2  0.231
7YLOA      313  XRAY      1.83  0.204  0.238
1YQEA      282  XRAY      1.83  0.206   0.23
4JAPA      353  XRAY     1.833  0.237  0.289
5XNCA      371  XRAY      1.84  0.164  0.207
5V13A      288  XRAY      1.84  0.166  0.197
7FHRA      441  XRAY      1.84  0.167  0.212
8AY6B      333  XRAY      1.84   0.17    0.2
7WUYA      409  XRAY      1.84  0.172  0.211
4Q6WA      403  XRAY      1.84  0.177  0.204
7DBLA      433  XRAY      1.84   0.18  0.205
1ZAOA      282  XRAY      1.84  0.183  0.212
7Z6WA      192  XRAY      1.84  0.183  0.216
8VQ3B      285  XRAY      1.84    0.2  0.217
2Y8DA      306  XRAY      1.84  0.205  0.235
8XLZA      251  XRAY      1.84  0.208  0.242
8K06A      340  XRAY     1.845  0.183  0.208
6PGLA      218  XRAY     1.845  0.189  0.219
8UZVA      461  XRAY     1.846  0.163  0.193
6LGVA      312  XRAY     1.847    0.2  0.236
5A03A      339  XRAY     1.848  0.168  0.195
5D79A      533  XRAY     1.849  0.199  0.243
6QXNA      420  XRAY     1.849  0.203  0.219
4XPQA      720  XRAY      1.85  0.142  0.168
5B8IA      390  XRAY      1.85  0.147  0.172
3UEQA      632  XRAY      1.85  0.149  0.186
7D9FA      620  XRAY      1.85  0.151   0.19
6NW9A      633  XRAY      1.85  0.152  0.184
6BNIA      535  XRAY      1.85  0.153  0.185
7TOMA      526  XRAY      1.85  0.153  0.199
5BMPA      468  XRAY      1.85  0.153   0.18
1QZ9A      416  XRAY      1.85  0.155  0.192
6B7OA      383  XRAY      1.85  0.161  0.201
2I3GA      352  XRAY      1.85  0.163  0.205
5YLEA      334  XRAY      1.85  0.163  0.205
2OU3A      161  XRAY      1.85  0.163  0.213
4IUWA      633  XRAY      1.85  0.166  0.221
5IBYA      352  XRAY      1.85  0.166   0.21
4BA0A      817  XRAY      1.85  0.168  0.193
5EKSA      368  XRAY      1.85  0.169  0.214
2Q5LA      565  XRAY      1.85   0.17  0.204
3O3LA      340  XRAY      1.85  0.172  0.188
4FBAA      282  XRAY      1.85  0.172  0.202
7MGOA      523  XRAY      1.85  0.173  0.203
5NW7A      455  XRAY      1.85  0.173  0.207
8VXBA      306  XRAY      1.85  0.173  0.198
6GRHD      396  XRAY      1.85  0.174  0.207
7MFPA      356  XRAY      1.85  0.174  0.219
6GRH1      295  XRAY      1.85  0.174  0.207
6GRHC      272  XRAY      1.85  0.174  0.207
5TRDA      230  XRAY      1.85  0.176  0.216
8OO2A      194  XRAY      1.85  0.176  0.212
6XYCA      293  XRAY      1.85  0.177  0.203
2OFIA      184  XRAY      1.85  0.177  0.198
6GQ3A      561  XRAY      1.85   0.18  0.225
4IMGA      293  XRAY      1.85   0.18  0.216
5K8CA      358  XRAY      1.85  0.181  0.218
2CFIA      329  XRAY      1.85  0.181  0.225
2VVMA      495  XRAY      1.85  0.182  0.205
3HYOA      282  XRAY      1.85  0.182  0.222
3UCJA      227  XRAY      1.85  0.182  0.218
7LVYA      461  XRAY      1.85  0.183  0.219
3V0HA      339  XRAY      1.85  0.183  0.222
1E3BA      173  XRAY      1.85  0.185  0.247
2JIGA      224  XRAY      1.85  0.186  0.238
1QRLA      214  XRAY      1.85  0.186  0.236
7O9QA      341  XRAY      1.85  0.188  0.207
3ATQA      453  XRAY      1.85  0.189  0.209
8BICA      335  XRAY      1.85   0.19  0.226
6PGNA      300  XRAY      1.85   0.19  0.216
3OFKA      216  XRAY      1.85   0.19  0.238
7BMKA      434  XRAY      1.85  0.192  0.235
8TDEA      281  XRAY      1.85  0.192   0.23
3HBNA      282  XRAY      1.85  0.194  0.208
5UL4A      744  XRAY      1.85  0.195  0.231
7VCMA      386  XRAY      1.85  0.195  0.225
1EX2A      189  XRAY      1.85  0.195  0.223
1U7CA      385  XRAY      1.85  0.196  0.205
2Q6HA      519  XRAY      1.85  0.198  0.218
6AO7A      162  XRAY      1.85    0.2  0.244
4GQNA      210  XRAY      1.85  0.202  0.234
3C5CA      187  XRAY      1.85  0.203  0.238
6SH6B       67  XRAY      1.85  0.205  0.244
7AGVA      168  XRAY      1.85  0.206  0.242
1T8TA      271  XRAY      1.85  0.207  0.236
1C39A      152  XRAY      1.85   0.21  0.246
6VVEA      302  XRAY      1.85  0.211  0.236
3DT9A      232  XRAY      1.85  0.211  0.228
7VU0A      442  XRAY      1.85  0.217  0.253
5OJYA      254  XRAY     1.851  0.183  0.196
3KXWA      590  XRAY     1.851  0.192  0.231
3QRCA      157  XRAY     1.852  0.204  0.221
4YI7A      365  XRAY     1.853  0.225  0.258
4EYGA      368  XRAY      1.86  0.138  0.191
8DMRA      399  XRAY      1.86  0.152   0.18
4PA5A      260  XRAY      1.86  0.167  0.213
8TCTA      289  XRAY      1.86  0.168  0.183
4NBIA      164  XRAY      1.86  0.169  0.193
4RG1A      313  XRAY      1.86  0.172  0.208
4YX6A      547  XRAY      1.86  0.175  0.199
7MJYA      457  XRAY      1.86  0.176  0.209
5YNNB      140  XRAY      1.86  0.181  0.212
4PE6A      341  XRAY      1.86  0.184  0.218
4ZNOA      335  XRAY      1.86  0.191  0.225
6MQ9A      295  XRAY      1.86  0.194  0.233
6Z7BA      491  XRAY      1.86  0.196  0.222
8ZWPA      278  XRAY      1.86  0.201  0.233
3ORHA      236  XRAY      1.86  0.209  0.236
8S34A      780  XRAY      1.86  0.215  0.249
6MPSA      286  XRAY      1.86  0.216  0.235
5FALA      448  XRAY     1.861   0.15  0.189
4MZVA      248  XRAY     1.865  0.197  0.249
6A0TA      332  XRAY      1.87  0.138  0.167
1Y9GA      518  XRAY      1.87  0.151  0.195
6PIIA      355  XRAY      1.87  0.156  0.183
3D3SA      189  XRAY      1.87  0.167   0.21
6ACIH       92  XRAY      1.87  0.167  0.209
3MJMA      347  XRAY      1.87  0.171    0.2
6R48A      318  XRAY      1.87  0.171  0.199
4XACA      252  XRAY      1.87  0.171  0.209
7Y88A      378  XRAY      1.87  0.183  0.205
5M45A      776  XRAY      1.87  0.193  0.217
5M45B      717  XRAY      1.87  0.193  0.217
8UX2A      246  XRAY      1.87  0.193  0.227
7WR3C      153  XRAY      1.87  0.196  0.228
6IXNA      418  XRAY      1.87  0.197  0.222
9ETYA      189  XRAY      1.87  0.213  0.255
2IVFC      214  XRAY      1.88   0.15  0.183
3S20A      344  XRAY      1.88  0.171    0.2
4AFHA      230  XRAY      1.88  0.172  0.213
4CYSA      536  XRAY      1.88  0.179  0.215
8P4QA      390  XRAY      1.88  0.179  0.197
5EXEA      395  XRAY      1.88  0.183  0.213
5EXEB      315  XRAY      1.88  0.183  0.213
5EXEC      314  XRAY      1.88  0.183  0.213
6HB5A      424  XRAY      1.88  0.194  0.224
8VL7A      233  XRAY      1.88  0.194  0.233
3VMPA      643  XRAY      1.88  0.198  0.238
1WF3A      301  XRAY      1.88    0.2  0.227
9I31A      364  XRAY      1.88  0.205  0.234
6H5AA      223  XRAY      1.88  0.205   0.23
5KKWA      249  XRAY      1.88  0.207  0.238
9D86A      192  XRAY      1.88  0.208  0.253
4N82A      178  XRAY      1.88  0.208  0.238
6ZXVA      340  XRAY      1.88  0.225  0.256
3KD6A      313  XRAY      1.88   0.23  0.237
6QDJA      790  XRAY     1.884  0.186  0.213
4EYWA      634  XRAY     1.885  0.174  0.197
5VQEA      573  XRAY     1.889  0.174  0.206
5TEDA      226  XRAY     1.889  0.179  0.222
4CIBA      455  XRAY      1.89  0.145  0.211
2IGTA      332  XRAY      1.89  0.165  0.192
8RIUA      792  XRAY      1.89  0.166  0.187
7C3OA      359  XRAY      1.89  0.167  0.192
4IEEA      490  XRAY      1.89  0.168  0.208
5I8SA      179  XRAY      1.89  0.174    0.2
7M7KB      438  XRAY      1.89  0.175  0.208
3B70A      371  XRAY      1.89  0.186  0.228
9CA3A      286  XRAY      1.89  0.194  0.241
8BSGA      584  XRAY      1.89  0.201  0.252
9G7GA      264  XRAY      1.89  0.204  0.231
6PWGA      204  XRAY      1.89  0.208  0.241
4KFUA      212  XRAY     1.892  0.191  0.234
6TV9A      378  XRAY     1.893  0.217  0.258
6GT9A      318  XRAY     1.894  0.193  0.239
3SSOA      419  XRAY     1.895  0.145  0.176
4NMYA      303  XRAY     1.896  0.166  0.203
4ECWA      435  XRAY     1.896  0.172  0.215
5VWVA      170  XRAY     1.897  0.158  0.177
5BU3A      184  XRAY     1.897  0.164  0.204
2YB1A      292  XRAY     1.898   0.16  0.207
3RHZA      339  XRAY     1.898  0.184  0.223
7NUTA      409  XRAY     1.898  0.186  0.213
4F4WA      361  XRAY     1.898  0.187  0.219
4YMGA      240  XRAY     1.899  0.161  0.202
5V2CB      506  XRAY       1.9  0.095  0.163
5V2CA      344  XRAY       1.9  0.095  0.163
5V2CO      245  XRAY       1.9  0.095  0.163
5V2CU      104  XRAY       1.9  0.095  0.163
5V2CE       83  XRAY       1.9  0.095  0.163
5V2CH       65  XRAY       1.9  0.095  0.163
5V2CZ       62  XRAY       1.9  0.095  0.163
5V2CX       41  XRAY       1.9  0.095  0.163
5V2CJ       40  XRAY       1.9  0.095  0.163
3MK0A      484  XRAY       1.9  0.137   0.19
3FD5A      394  XRAY       1.9   0.14  0.195
4PL9A      183  XRAY       1.9  0.148  0.182
7YQ7Y       46  XRAY       1.9  0.148  0.177
1OAOC      729  XRAY       1.9  0.149  0.179
4R37A      275  XRAY       1.9  0.149  0.185
9CTDA      217  XRAY       1.9  0.151  0.177
9CTDB      215  XRAY       1.9  0.151  0.177
5T5IA      569  XRAY       1.9  0.153  0.172
5T5IB      432  XRAY       1.9  0.153  0.172
5T5IC      270  XRAY       1.9  0.153  0.172
3K8DA      264  XRAY       1.9  0.153  0.182
6A9AA      246  XRAY       1.9  0.155  0.187
5BXAA      416  XRAY       1.9  0.156  0.187
5W4YA      461  XRAY       1.9  0.158  0.194
5A07A      434  XRAY       1.9  0.158  0.191
1K9YA      357  XRAY       1.9  0.158  0.203
2WABA      341  XRAY       1.9  0.158  0.203
2WW2A      737  XRAY       1.9  0.159  0.187
2WBVA      189  XRAY       1.9  0.159  0.195
5U9CA      292  XRAY       1.9  0.161  0.191
4YEDA      271  XRAY       1.9  0.161    0.2
4PWYA      264  XRAY       1.9  0.161  0.191
8FJMA      257  XRAY       1.9  0.161  0.185
9JF5A      462  XRAY       1.9  0.162  0.189
9JF5E       42  XRAY       1.9  0.162  0.189
5DGRA      586  XRAY       1.9  0.164  0.204
4GYLA      348  XRAY       1.9  0.164  0.187
2PYWA      420  XRAY       1.9  0.165  0.197
8TWJA      323  XRAY       1.9  0.165  0.191
5G09A      483  XRAY       1.9  0.167  0.203
6W4QA      927  XRAY       1.9  0.168  0.188
1UODA      366  XRAY       1.9  0.168  0.206
3IVDA      509  XRAY       1.9  0.169   0.21
9BQAA      397  XRAY       1.9  0.169  0.194
5VGSA      157  XRAY       1.9  0.169  0.215
1ON3A      523  XRAY       1.9   0.17  0.213
